"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"1923","White Sox","1683","5223","6042",".279",".095","17.6","5.4","39.4"
"1980","Yankees","1868","5553","6329",".267",".157","28.6","4.4","-36.9"
"1925","Yankees","1804","5349","6012",".275",".136","12.5","4.6","29.5"
"1928","Tigers","1745","5289","5943",".279",".123","13.8","5.9","8.5"
"1955","Redlegs","1992","5252","5958",".271",".155","23.5","3.8","68.4"
"1946","Yankees","1733","5134","5873",".248",".139","29.1","4.2","80.0"
"2001","Astros","2116","5524","6320",".271",".180","23.6","4.0","36.1"
"1936","Cardinals","1854","5537","6065",".281",".129","17.0","4.9","7.4"
"2002","Rangers","2389","5621","6336",".269",".186","21.9","4.1","-22.9"
"1983","Blue Jays","1811","5581","6213",".277",".159","28.5","5.2","19.5"
"2002","Red Sox","2172","5640","6332",".277",".168","24.2","4.6","-28.8"
