"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2003","Twins","2269","6324","155","801","755","94","8.1 %","16.2 %",".154",".312",".277",".341",".431",".335","102","1.8","19.8","5.4","24.0"
"2013","Reds","2286","6293","155","698","664","67","9.3 %","19.8 %",".142",".293",".249",".327",".391",".316","96","-0.7","-31.6","67.1","24.0"
"1919","Indians","1491","5325","24","634","547","113","9.4 %","6.9 %",".103",".298",".278",".354",".381",".352","103","-5.2","14.6","15.1","24.0"
"1938","Giants","1680","5838","125","705","672","31","8.0 %","9.0 %",".125",".282",".271",".334",".396",".338","100","4.1","4.0","67.2","23.9"
"2008","Indians","2199","6299","171","805","772","77","8.9 %","19.3 %",".162",".305",".262",".339",".424",".334","103","0.7","24.6","-0.4","23.9"
"2002","Phillies","2260","6323","165","710","676","104","10.1 %","17.3 %",".163",".294",".259",".339",".422",".331","101","1.1","5.4","27.8","23.9"
"1923","Cubs","1675","5893","90","756","675","181","7.7 %","8.2 %",".117",".304",".288",".348",".406",".353","98","-11.6","-30.5","68.2","23.9"
"1960","Orioles","2066","5911","123","681","640","37","10.1 %","13.5 %",".124",".276",".253",".332",".377",".320","97","0.0","-20.5","80.2","23.9"
"1992","Twins","1816","6267","104","747","701","123","8.4 %","13.3 %",".115",".306",".277",".341",".391",".331","103","-5.4","14.9","11.8","23.9"
"1955","Tigers","1848","6066","130","775","723","41","10.5 %","9.6 %",".128",".276",".266",".344",".395",".334","99","4.7","-6.1","27.5","23.9"
"1956","Redlegs","2027","5999","221","775","734","45","8.8 %","12.6 %",".175",".272",".266",".336",".441",".342","103","3.6","21.6","42.7","23.8"
"1982","Padres","2081","6160","81","675","611","165","7.0 %","14.2 %",".101",".290",".257",".311",".359",".298","90","2.7","-69.1","94.2","23.8"
"1917","Red Sox","1640","5843","14","555","475","105","7.9 %","8.0 %",".073",".270",".247",".314",".320",".311","98","-9.0","-22.8","56.7","23.8"
"1971","Reds","2121","5968","138","586","542","59","7.3 %","15.2 %",".124",".266",".241",".300",".366",".302","91","0.7","-57.7","87.0","23.8"
"2013","Pirates","2369","6135","161","634","603","94","7.6 %","21.7 %",".151",".294",".245",".313",".396",".312","99","1.1","-4.1","42.9","23.8"
"1974","Cardinals","2220","6314","83","677","610","172","8.4 %","11.9 %",".099",".291",".265",".331",".365",".318","94","12.1","-33.2","58.3","23.8"
"1940","Indians","1696","5957","101","710","661","53","8.7 %","10.0 %",".133",".283",".265",".332",".398",".335","96","-7.7","-44.3","70.5","23.8"
"1968","Athletics","2075","6023","94","569","522","147","7.8 %","17.0 %",".103",".279",".240",".304",".343",".296","99","9.5","3.8","43.3","23.8"
"1917","Tigers","1680","5812","25","639","535","163","8.3 %","8.2 %",".085",".281",".259",".328",".344",".329","104","1.0","22.1","5.1","23.8"
"1963","Tigers","1943","6229","148","699","649","73","9.5 %","14.5 %",".130",".276",".253",".327",".382",".317","98","4.7","-13.3","67.3","23.8"
"1999","Braves","2204","6351","197","840","791","148","9.6 %","15.1 %",".170",".288",".266",".341",".436",".338","95","-0.2","-44.1","85.4","23.8"
"1959","Redlegs","1941","5918","161","762","719","65","8.4 %","12.9 %",".153",".292",".274",".337",".427",".338","99","3.8","-1.8","26.8","23.8"
"1940","Red Sox","1751","6166","145","872","807","55","9.6 %","9.6 %",".164",".300",".286",".357",".450",".367","104","-13.0","17.6","0.9","23.7"
"2001","Indians","1901","6357","212","897","868","79","9.1 %","16.9 %",".179",".308",".278",".350",".458",".347","112","-2.4","90.7","-67.4","23.7"
"1999","Blue Jays","1862","6370","212","883","856","119","9.1 %","16.9 %",".177",".311",".280",".352",".457",".353","104","2.2","37.0","-10.1","23.7"
"2015","Mets","2325","6145","177","683","654","51","7.9 %","21.0 %",".156",".287",".244",".312",".400",".309","98","6.4","-7.9","39.7","23.7"
"2002","Dodgers","2302","6147","155","713","693","96","7.0 %","15.3 %",".146",".291",".264",".320",".409",".317","96","-3.5","-36.3","73.4","23.7"
"1977","Twins","1828","6382","123","867","804","105","8.8 %","11.8 %",".135",".304",".282",".348",".417",".339","106","-0.4","48.6","-32.0","23.7"
"2000","Dodgers","2056","6311","211","798","756","95","10.6 %","17.1 %",".174",".283",".257",".341",".431",".337","99","0.5","-4.2","46.3","23.7"
"1959","Giants","1877","5823","167","704","652","81","8.0 %","14.8 %",".155",".284",".262",".323",".417",".326","97","4.5","-18.0","46.5","23.7"
"2015","Royals","2263","6116","139","724","689","104","6.3 %","15.9 %",".144",".301",".269",".322",".412",".318","98","-0.4","-15.8","38.7","23.7"
"1974","Astros","2152","6105","110","653","603","108","7.7 %","14.1 %",".116",".292",".263",".322",".379",".320","100","-2.0","-5.0","33.6","23.7"
"2006","Braves","2435","6284","222","849","818","52","8.4 %","18.6 %",".184",".304",".270",".337",".455",".339","100","-13.4","-13.1","48.1","23.7"
"1964","Tigers","1964","6183","157","699","658","60","8.4 %","14.8 %",".142",".276",".253",".319",".395",".317","95","3.6","-35.4","91.3","23.7"
"2008","Astros","2312","6051","167","712","684","114","7.4 %","17.4 %",".152",".296",".263",".323",".415",".322","94","0.4","-49.2","90.4","23.7"
"1969","Red Sox","2053","6294","197","743","701","41","10.5 %","14.7 %",".164",".268",".251",".333",".415",".337","101","-7.4","1.0","36.5","23.6"
"1984","Expos","2183","6042","96","593","553","131","7.8 %","12.9 %",".111",".277",".251",".312",".362",".303","91","10.8","-49.5","78.0","23.6"
"1945","Cardinals","1776","6166","64","756","698","55","8.4 %","7.9 %",".098",".291",".273",".338",".371",".340","96","7.6","-21.4","48.8","23.6"
"1949","Giants","1903","6009","147","736","690","43","10.2 %","8.7 %",".141",".266",".261",".340",".401",".348","98","7.4","-10.5","51.8","23.6"
"1968","Giants","1983","6132","108","599","566","50","8.3 %","14.7 %",".101",".267",".239",".307",".341",".297","98","-2.0","-15.4","8.3","23.6"
"2001","Astros","2116","6320","208","847","805","64","9.2 %","17.7 %",".180",".304",".271",".347",".451",".343","101","-8.8","-1.5","36.1","23.6"
"1964","Phillies","2151","6108","130","692","649","30","7.2 %","15.1 %",".134",".287",".258",".315",".391",".312","99","-5.5","-11.5","18.3","23.6"
"1964","Cardinals","2009","6181","109","715","654","73","6.9 %","14.9 %",".120",".308",".272",".324",".392",".317","93","-2.7","-49.3","56.5","23.6"
"1947","Red Sox","1800","6100","103","720","674","41","10.9 %","9.7 %",".117",".283",".265",".349",".382",".345","99","-7.1","-12.0","46.7","23.5"
"1968","Cardinals","1916","6076","73","581","539","110","6.2 %","14.8 %",".098",".283",".249",".298",".346",".292","93","7.4","-32.1","30.4","23.5"
"1944","Red Sox","1744","6052","69","739","691","60","8.6 %","8.3 %",".110",".287",".270",".336",".380",".340","102","-6.8","3.2","20.0","23.5"
"2000","Mets","2345","6328","198","807","761","66","10.7 %","16.4 %",".167",".290",".263",".346",".430",".339","99","-7.2","-16.2","55.3","23.5"
"1957","Redlegs","2094","6103","187","747","713","51","8.9 %","12.3 %",".163",".281",".269",".338",".432",".341","101","0.3","8.8","35.5","23.5"
"1988","Expos","2224","6170","107","628","575","189","7.4 %","17.1 %",".121",".290",".251",".309",".373",".304","93","-0.5","-46.5","77.6","23.5"
"1955","Redlegs","1992","5958","181","761","722","51","9.3 %","10.9 %",".155",".278",".271",".342",".426",".343","99","0.6","-4.4","68.4","23.5"
"1992","Padres","2147","6070","135","616","576","69","7.5 %","14.2 %",".132",".279",".255",".313",".386",".314","95","-7.5","-42.3","75.2","23.5"
"1962","Reds","1986","6269","167","802","745","66","7.9 %","14.4 %",".148",".294",".270",".332",".418",".332","98","-1.9","-15.8","31.4","23.4"
"1994","Yankees","1192","4611","139","670","632","55","11.5 %","14.3 %",".172",".315",".290",".374",".462",".366","118","-6.5","101.5","-16.0","23.4"
"2014","Tigers","2330","6202","155","757","731","106","7.1 %","18.4 %",".150",".319",".277",".331",".426",".331","112","-8.6","71.7","-57.9","23.4"
"1955","Phillies","1811","5855","132","675","631","44","11.1 %","11.5 %",".140",".270",".256",".340",".395",".333","99","0.8","-8.9","75.0","23.4"
"1991","Reds","2195","6134","164","689","654","124","8.0 %","16.4 %",".145",".287",".258",".320",".403",".322","100","2.5","-0.8","26.2","23.4"
"1917","White Sox","1668","5860","18","657","535","219","8.9 %","8.2 %",".073",".277",".253",".329",".326",".322","100","11.0","13.0","9.0","23.4"
"2016","Blue Jays","1883","6233","221","759","728","54","10.1 %","21.9 %",".178",".289",".248",".330",".426",".327","102","-8.6","8.5","7.9","23.4"
"1917","Cardinals","1737","5626","26","531","436","159","6.4 %","11.6 %",".083",".283",".250",".303",".333",".310","95","3.5","-23.3","55.5","23.4"
"2004","Angels","2217","6296","162","836","783","143","7.1 %","15.0 %",".147",".312",".282",".341",".429",".334","103","2.2","23.8","1.4","23.4"
"1924","Reds","1708","5835","36","649","586","103","6.0 %","5.7 %",".107",".305",".290",".337",".397",".342","100","-7.7","-8.9","53.9","23.4"
"1990","Giants","2269","6216","152","719","681","109","7.9 %","15.7 %",".134",".291",".262",".323",".396",".321","100","-2.7","-3.3","8.8","23.4"
"2003","Marlins","2190","6186","157","751","709","150","8.3 %","15.8 %",".155",".296",".266",".333",".421",".327","99","2.8","-7.6","41.8","23.4"
"1925","Athletics","1816","6059","76","831","767","67","7.4 %","7.1 %",".127",".324",".308",".364",".434",".367","99","0.4","-8.4","43.2","23.3"
"1946","Tigers","1720","6058","108","704","644","65","10.3 %","10.2 %",".116",".275",".258",".338",".374",".339","97","-5.6","-29.8","42.8","23.3"
"2016","Nationals","2097","6202","203","763","735","121","8.6 %","20.2 %",".170",".293",".256",".325",".426",".322","97","16.7","-6.3","36.9","23.3"
"1975","Yankees","1798","6039","110","681","642","103","8.0 %","11.8 %",".118",".284",".264",".325",".382",".323","101","-1.6","7.3","20.8","23.3"
"1934","Dodgers","1839","6074","79","748","699","55","9.0 %","9.1 %",".115",".302",".281",".350",".396",".346","102","8.2","22.9","18.7","23.3"
"2006","Cardinals","2359","6225","184","781","745","59","8.5 %","14.8 %",".163",".292",".269",".337",".431",".331","98","5.9","-13.3","46.0","23.3"
"2012","Reds","2211","6115","172","669","636","87","7.9 %","20.7 %",".159",".296",".251",".315",".411",".314","93","15.4","-34.1","65.9","23.2"
"2011","Tigers","2309","6231","169","787","750","49","8.4 %","18.3 %",".157",".318",".277",".340",".434",".337","109","-15.2","48.5","-30.2","23.2"
"1998","White Sox","1891","6281","198","861","806","127","8.8 %","14.6 %",".172",".291",".271",".339",".444",".341","103","5.3","30.6","-10.6","23.2"
"2004","White Sox","2245","6197","242","865","823","78","8.1 %","16.6 %",".189",".288",".268",".333",".457",".340","101","-1.6","7.3","19.4","23.2"
"1958","Giants","2122","5996","170","727","682","64","8.9 %","13.6 %",".159",".281",".263",".331",".422",".332","100","4.8","2.6","29.7","23.2"
"2005","Reds","2309","6321","222","820","784","72","9.7 %","20.6 %",".185",".302",".261",".339",".446",".340","103","12.9","35.5","-10.3","23.2"
"1997","Orioles","2003","6340","196","812","780","63","9.2 %","15.0 %",".160",".290",".268",".341",".429",".338","102","1.9","17.8","-4.3","23.2"
"1996","Orioles","1702","6494","257","949","914","77","9.9 %","14.1 %",".198",".284",".274",".350",".472",".355","106","-4.2","52.2","-51.1","23.1"
"1980","Expos","2105","6164","114","694","647","237","8.9 %","14.0 %",".131",".285",".257",".324",".388",".318","98","14.2","1.6","26.2","23.1"
"1972","Giants","1909","5858","150","662","600","123","8.2 %","16.5 %",".140",".271",".244",".309",".384",".316","96","9.9","-18.9","28.3","23.1"
"1986","Athletics","1761","6127","163","731","683","139","9.0 %","16.0 %",".138",".278",".252",".322",".390",".318","100","2.8","3.8","18.4","23.1"
"1926","Cubs","1712","5902","66","681","630","85","7.5 %","7.6 %",".112",".294",".278",".338",".390",".341","96","14.4","-11.8","65.8","23.1"
"2010","Cardinals","2347","6241","150","736","689","79","8.7 %","16.5 %",".139",".296",".263",".332",".402",".322","99","1.8","-6.8","35.6","23.1"
"1962","Cardinals","2187","6307","137","774","707","86","8.2 %","13.4 %",".123",".296",".271",".335",".394",".326","88","1.3","-92.1","105.1","23.1"
"2007","Rockies","2407","6498","171","860","823","100","9.6 %","17.7 %",".158",".322",".280",".354",".437",".346","97","10.1","-19.4","41.6","23.1"
"2002","Athletics","2312","6291","205","800","772","46","9.7 %","16.0 %",".171",".284",".261",".339",".432",".337","106","10.1","59.2","-42.7","23.1"
"2000","Astros","2299","6440","249","938","900","114","10.5 %","17.5 %",".199",".305",".278",".361",".477",".361","105","-0.3","46.6","-10.9","23.1"
"1992","Cardinals","2090","6230","94","631","599","208","7.9 %","16.0 %",".113",".301",".262",".323",".375",".316","99","-5.0","-13.8","34.9","23.0"
"1987","White Sox","1671","6164","173","748","706","138","7.9 %","15.8 %",".158",".282",".258",".319",".415",".319","92","3.1","-56.5","78.7","23.0"
"2005","Athletics","2164","6275","155","772","739","31","8.6 %","13.1 %",".145",".281",".262",".330",".407",".323","99","12.0","3.9","13.7","23.0"
"1916","White Sox","1730","5805","17","601","484","195","7.7 %","10.2 %",".088",".282",".251",".319",".339",".321","98","1.6","-13.3","42.2","23.0"
"2010","Padres","2352","6148","132","665","630","124","8.8 %","19.2 %",".125",".290",".246",".317",".371",".304","92","9.3","-50.2","80.8","23.0"
"2014","Giants","2353","6087","132","665","636","56","7.0 %","20.5 %",".133",".304",".255",".311",".388",".308","99","0.1","-5.5","34.4","23.0"
"1920","Reds","1580","5799","18","639","546","158","6.6 %","6.3 %",".072",".295",".277",".332",".349",".325","100","-1.7","-0.4","37.6","23.0"
"2001","White Sox","1906","6151","214","798","770","123","8.5 %","16.2 %",".183",".290",".268",".334",".451",".337","104","-1.3","28.4","-7.1","23.0"
"1953","Cardinals","1972","6051","140","762","722","18","9.5 %","10.1 %",".151",".288",".273",".348",".424",".352","99","-0.2","-7.1","42.6","22.9"
"1997","Mets","2268","6248","153","777","741","97","8.8 %","16.5 %",".143",".294",".262",".332",".405",".325","95","-12.1","-48.5","81.7","22.9"
"2001","Phillies","2065","6201","164","745","706","153","8.9 %","18.0 %",".154",".296",".260",".329",".414",".321","92","9.9","-52.0","81.8","22.9"
"1971","Yankees","1924","6164","97","648","607","75","9.4 %","11.6 %",".106",".275",".254",".328",".360",".314","99","-3.9","-11.0","31.2","22.9"
"1985","Astros","2100","6192","121","706","666","96","7.7 %","14.1 %",".127",".288",".261",".319",".388",".313","102","-5.0","7.8","8.5","22.8"
"1943","Dodgers","1797","6010","39","715","658","58","9.7 %","7.0 %",".085",".290",".272",".346",".357",".340","103","8.9","31.9","-3.3","22.8"
"1997","Yankees","1773","6527","161","891","846","99","10.4 %","14.6 %",".150",".316",".286",".362",".436",".351","111","-4.3","88.7","-83.6","22.8"
"2013","Royals","2236","6093","112","648","620","153","6.9 %","17.2 %",".119",".300",".260",".315",".379",".305","89","18.2","-57.4","68.2","22.8"
"1957","Red Sox","1858","5973","153","720","695","29","10.4 %","12.3 %",".143",".279",".263",".341",".406",".333","97","1.9","-21.1","57.7","22.8"
"1976","Orioles","1771","6091","119","619","576","150","8.5 %","14.5 %",".115",".269",".243",".310",".358",".310","104","5.9","28.7","-6.5","22.8"
"1992","Yankees","1666","6262","163","733","703","78","8.6 %","14.4 %",".144",".284",".261",".328",".406",".330","107","-0.2","47.5","-34.2","22.8"
"1936","Pirates","1698","6211","60","804","732","37","8.3 %","8.1 %",".112",".306",".286",".349",".397",".347","100","4.6","1.4","34.1","22.8"
"1986","Blue Jays","1866","6318","181","809","767","110","7.9 %","13.4 %",".157",".287",".269",".329",".427",".334","104","-2.1","26.5","-15.1","22.8"
"2000","Athletics","2066","6432","239","947","908","40","11.7 %","18.0 %",".188",".300",".270",".360",".458",".356","109","1.9","80.7","-62.9","22.8"
"2009","Cardinals","2358","6168","160","730","694","75","8.6 %","16.9 %",".152",".296",".263",".332",".415",".325","98","13.4","-1.6","30.9","22.7"
"2006","Twins","2226","6228","143","801","754","101","7.9 %","14.0 %",".138",".316",".287",".347",".425",".334","101","-1.4","5.9","13.5","22.7"
"1926","Senators","1792","6009","43","802","721","117","9.2 %","6.0 %",".109",".308",".292",".364",".401",".360","102","-17.6","-1.4","10.5","22.7"
"1940","Pirates","1947","6111","76","809","739","69","9.0 %","8.1 %",".117",".293",".277",".347",".394",".342","104","10.5","42.9","-3.1","22.7"
"1995","Angels","1551","5690","186","801","761","57","9.9 %","15.6 %",".171",".302",".277",".352",".448",".351","106","-7.0","36.2","2.4","22.7"
"1976","Astros","2031","6113","66","625","571","150","8.7 %","11.8 %",".090",".283",".256",".322",".347",".310","97","7.2","-14.7","24.3","22.7"
"1937","Pirates","1681","5996","47","704","649","32","7.7 %","8.0 %",".099",".306",".285",".343",".384",".337","97","2.8","-20.6","56.2","22.7"
"1922","Cardinals","1890","6061","107","863","787","73","7.4 %","7.0 %",".143",".312",".301",".357",".444",".368","106","0.7","53.4","-40.6","22.6"
